GEO.id	GEOID10	GEO.display-label	population	collision
1500000US370810154011	3.7081E+11	"Block Group 1, Census Tract 154.01, Guilford County, North Carolina"	4522	0
1500000US370810154012	3.7081E+11	"Block Group 2, Census Tract 154.01, Guilford County, North Carolina"	1482	338
1500000US370810154021	3.7081E+11	"Block Group 1, Census Tract 154.02, Guilford County, North Carolina"	797	170
1500000US370810154022	3.7081E+11	"Block Group 2, Census Tract 154.02, Guilford County, North Carolina"	1659	175
1500000US370810154023	3.7081E+11	"Block Group 3, Census Tract 154.02, Guilford County, North Carolina"	2353	132
1500000US370810154024	3.7081E+11	"Block Group 4, Census Tract 154.02, Guilford County, North Carolina"	3851	68
1500000US370810155001	3.7081E+11	"Block Group 1, Census Tract 155, Guilford County, North Carolina"	5455	1
1500000US370810155002	3.7081E+11	"Block Group 2, Census Tract 155, Guilford County, North Carolina"	1714	0
1500000US370810156001	3.7081E+11	"Block Group 1, Census Tract 156, Guilford County, North Carolina"	5375	22
1500000US370810156002	3.7081E+11	"Block Group 2, Census Tract 156, Guilford County, North Carolina"	3956	129
1500000US370810156003	3.7081E+11	"Block Group 3, Census Tract 156, Guilford County, North Carolina"	912	199
1500000US370810157031	3.7081E+11	"Block Group 1, Census Tract 157.03, Guilford County, North Carolina"	1434	58
1500000US370810157032	3.7081E+11	"Block Group 2, Census Tract 157.03, Guilford County, North Carolina"	2617	74
1500000US370810157033	3.7081E+11	"Block Group 3, Census Tract 157.03, Guilford County, North Carolina"	2043	58
1500000US370810157041	3.7081E+11	"Block Group 1, Census Tract 157.04, Guilford County, North Carolina"	3805	229
1500000US370810157042	3.7081E+11	"Block Group 2, Census Tract 157.04, Guilford County, North Carolina"	2536	418
1500000US370810157051	3.7081E+11	"Block Group 1, Census Tract 157.05, Guilford County, North Carolina"	535	75
1500000US370810157052	3.7081E+11	"Block Group 2, Census Tract 157.05, Guilford County, North Carolina"	1815	229
